Sentiment Analysis:
------------------------ Sentiment of Articles ------------------------
157.txt	{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5267}
158.txt	{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.6103}
159.txt	{'neg': 0.358, 'neu': 0.642, 'pos': 0.0, 'compound': -0.5358}
160.txt	{'neg': 0.0, 'neu': 0.951, 'pos': 0.049, 'compound': 0.4215}
161.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
162.txt	{'neg': 0.186, 'neu': 0.725, 'pos': 0.089, 'compound': -0.8433}
163.txt	{'neg': 0.052, 'neu': 0.948, 'pos': 0.0, 'compound': -0.3818}
164.txt	{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.5106}
165.txt	{'neg': 0.027, 'neu': 0.973, 'pos': 0.0, 'compound': -0.2862}
166.txt	{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.25}
167.txt	{'neg': 0.055, 'neu': 0.945, 'pos': 0.0, 'compound': -0.296}
168.txt	{'neg': 0.022, 'neu': 0.978, 'pos': 0.0, 'compound': -0.1531}
169.txt	{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.296}
170.txt	{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.836}
171.txt	{'neg': 0.214, 'neu': 0.72, 'pos': 0.066, 'compound': -0.8074}
172.txt	{'neg': 0.035, 'neu': 0.867, 'pos': 0.098, 'compound': 0.7184}
173.txt	{'neg': 0.074, 'neu': 0.855, 'pos': 0.071, 'compound': -0.0258}
174.txt	{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.3182}
175.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
176.txt	{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.7184}
177.txt	{'neg': 0.119, 'neu': 0.855, 'pos': 0.026, 'compound': -0.7717}
178.txt	{'neg': 0.237, 'neu': 0.724, 'pos': 0.039, 'compound': -0.9128}
179.txt	{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.2732}
180.txt	{'neg': 0.22, 'neu': 0.729, 'pos': 0.05, 'compound': -0.8591}
181.txt	{'neg': 0.214, 'neu': 0.601, 'pos': 0.185, 'compound': -0.2732}
182.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
183.txt	{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}
184.txt	{'neg': 0.331, 'neu': 0.61, 'pos': 0.059, 'compound': -0.9286}
185.txt	{'neg': 0.184, 'neu': 0.653, 'pos': 0.162, 'compound': -0.3156}
186.txt	{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.7579}
187.txt	{'neg': 0.065, 'neu': 0.935, 'pos': 0.0, 'compound': -0.25}
188.txt	{'neg': 0.069, 'neu': 0.843, 'pos': 0.088, 'compound': 0.128}
189.txt	{'neg': 0.111, 'neu': 0.791, 'pos': 0.097, 'compound': -0.6124}
190.txt	{'neg': 0.156, 'neu': 0.817, 'pos': 0.027, 'compound': -0.872}
191.txt	{'neg': 0.221, 'neu': 0.678, 'pos': 0.101, 'compound': -0.8389}
192.txt	{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.743}
193.txt	{'neg': 0.064, 'neu': 0.936, 'pos': 0.0, 'compound': -0.4215}
194.txt	{'neg': 0.037, 'neu': 0.886, 'pos': 0.077, 'compound': 0.4404}
195.txt	{'neg': 0.183, 'neu': 0.716, 'pos': 0.101, 'compound': -0.3182}
196.txt	{'neg': 0.113, 'neu': 0.785, 'pos': 0.102, 'compound': -0.4588}
197.txt	{'neg': 0.047, 'neu': 0.83, 'pos': 0.123, 'compound': 0.3786}
198.txt	{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.9001}
199.txt	{'neg': 0.063, 'neu': 0.937, 'pos': 0.0, 'compound': -0.5267}
200.txt	{'neg': 0.181, 'neu': 0.706, 'pos': 0.113, 'compound': -0.6249}
201.txt	{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.2263}
202.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
203.txt	{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.5423}
204.txt	{'neg': 0.122, 'neu': 0.802, 'pos': 0.076, 'compound': -0.2732}
205.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
206.txt	{'neg': 0.035, 'neu': 0.782, 'pos': 0.183, 'compound': 0.836}
207.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
208.txt	{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.5859}
209.txt	{'neg': 0.084, 'neu': 0.836, 'pos': 0.08, 'compound': -0.296}
210.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
211.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
212.txt	{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}
213.txt	{'neg': 0.263, 'neu': 0.69, 'pos': 0.047, 'compound': -0.9286}
214.txt	{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.9332}
215.txt	{'neg': 0.175, 'neu': 0.73, 'pos': 0.095, 'compound': -0.296}
216.txt	{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.8316}
217.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
218.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
219.txt	{'neg': 0.05, 'neu': 0.95, 'pos': 0.0, 'compound': -0.1901}
220.txt	{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.743}
221.txt	{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.2263}
222.txt	{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.5423}
223.txt	{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.8773}
224.txt	{'neg': 0.197, 'neu': 0.775, 'pos': 0.028, 'compound': -0.9492}
